City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,kiunga,-6.1219,141.2906,22.92,97,100,0.95,PG,1699543239
217,uzgen,40.7699,73.3007,8.16,66,100,0.92,KG,1699543682
218,trinidad,-14.8333,-64.9,32.99,55,75,4.12,BO,1699543682
219,berezovyy,51.6667,135.7,-8.52,94,100,1.57,RU,1699543355
220,nantucket,41.2835,-70.0995,10.08,73,100,4.12,US,1699542970
221,ust-nera,64.5667,143.2,-30.35,99,82,1.72,RU,1699543300
222,ares,-6.1944,-35.1603,31.05,46,2,7.3,BR,1699543683
223,la passe,45.5549,-0.8967,14.13,76,36,9.94,FR,1699543346
224,cooper's town,26.8667,-77.5167,25.36,80,97,3.95,BS,1699543683
225,zaragoza,41.6561,-0.8773,17.23,47,20,5.14,ES,1699543584
226,kamina,-8.7386,24.9906,23.27,87,99,1.58,CD,1699543334
227,san luis de la loma,17.2706,-100.8939,28.14,70,84,1.45,MX,1699543368
228,newman,37.3138,-121.0208,6.27,47,1,0.85,US,1699543248
229,ivins,37.1686,-113.6794,7.29,55,0,0.89,US,1699543684
230,akjoujt,19.6969,-14.4164,33.22,11,5,4.49,MR,1699543684
231,isla del bosque,22.7333,-105.85,25.95,85,71,2.03,MX,1699543684
232,georgetown,5.4112,100.3354,26.96,92,40,2.57,MY,1699543220
233,kingston,17.997,-76.7936,32.53,55,20,3.09,JM,1699543007
234,jilib,0.4883,42.7854,26.7,79,100,2.57,SO,1699543685
235,tianshui,34.5439,105.6897,8.02,58,70,1.9,CN,1699543685
236,westport,41.1415,-73.3579,13.43,80,100,2.68,US,1699543446
237,liwale,-9.7667,37.9333,32.57,30,71,1.86,TZ,1699543686
238,codrington,-38.2667,141.9667,9.0,93,35,2.29,AU,1699543185
239,new norfolk,-42.7826,147.0587,15.4,98,8,1.39,AU,1699543278
240,valparaiso,-33.0393,-71.6273,19.44,64,75,3.09,CL,1699543590
241,kontagora,10.3999,5.4695,36.24,18,75,1.18,NG,1699543687
242,grand rapids,42.9634,-85.6681,9.05,69,20,6.69,US,1699543687
243,kamennomostskiy,44.2983,40.1856,8.81,95,100,2.53,RU,1699543688
244,constantia,44.1833,28.65,12.61,44,5,2.11,RO,1699543408
245,akureyri,65.6835,-18.0878,1.96,80,75,2.06,IS,1699543688
246,peace river,56.2501,-117.286,-2.97,98,100,0.0,CA,1699543383
247,ashmyany,54.425,25.9378,6.0,84,52,3.47,BY,1699543688
248,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699543280
249,alofi,-19.0595,-169.9187,24.94,94,99,2.06,NU,1699543689
250,pulandian,39.3953,121.9669,0.99,45,22,5.57,CN,1699543690
251,puerto cabezas,14.0351,-83.3888,28.98,89,75,3.09,NI,1699543690
252,saudarkrokur,65.7461,-19.6394,-1.36,83,4,2.65,IS,1699543349
253,beloyarskiy,63.7119,66.6722,-1.67,88,100,2.68,RU,1699543418
254,makungu,-8.7333,35.2833,25.02,46,36,3.86,TZ,1699543691
255,sheboygan,43.7333,-87.9334,6.93,66,0,8.75,US,1699543691
256,dalandzadgad,43.5708,104.425,-8.9,23,73,3.46,MN,1699543359
257,gidole,5.65,37.3667,18.25,64,42,1.48,ET,1699543691
258,shimoda,34.6667,138.95,18.7,72,43,0.95,JP,1699543692
259,binhe,32.6883,112.8275,10.41,52,100,6.42,CN,1699543692
260,la'ie,21.6477,-157.9253,25.34,76,20,3.13,US,1699543192
261,kerikeri,-35.2268,173.9474,12.06,84,100,1.52,NZ,1699543288
262,cannonvale,-20.2833,148.7,22.66,73,1,4.56,AU,1699543693
263,ouadda,8.0777,22.4007,28.96,61,90,1.69,CF,1699543385
264,nangomba,-10.9,38.5,36.65,20,84,0.66,TZ,1699543693
265,argo,37.6333,22.7333,20.44,72,16,1.77,GR,1699543273
266,pachelma,53.2443,43.3521,5.69,95,100,4.02,RU,1699543694
267,christchurch,-43.5333,172.6333,9.39,84,75,3.6,NZ,1699543694
268,udachny,66.4167,112.4,-13.64,84,100,1.97,RU,1699543198
269,port blair,11.6667,92.75,27.02,89,40,1.03,IN,1699543214
270,kodiak,57.79,-152.4072,-0.27,59,0,6.69,US,1699543065
271,al minya,28.1099,30.7503,28.57,34,0,5.86,EG,1699543695
272,madras,13.0878,80.2785,26.09,90,75,2.57,IN,1699543616
273,taastrup,55.6517,12.2922,9.99,99,100,3.6,DK,1699543695
274,chilecito,-29.1619,-67.4974,24.65,22,1,2.96,AR,1699543696
275,buseresere,-3.0236,31.8747,25.13,60,91,2.62,TZ,1699543696
276,ulladulla,-35.35,150.4667,14.87,92,99,1.88,AU,1699543309
277,shitanjing,39.2342,106.3439,-3.26,30,73,3.7,CN,1699543696
278,minot air force base,48.4209,-101.3391,0.1,87,100,11.83,US,1699543630
279,bure,10.7,37.0667,16.27,85,89,1.25,ET,1699543697
280,nakhon si thammarat,8.25,100.0,26.0,82,76,1.34,TH,1699543697
281,zhuanghe,39.7008,122.9911,-0.54,46,10,6.42,CN,1699543698
282,mil'kovo,55.6078,37.7956,7.41,87,100,3.0,RU,1699543698
283,naifaru,5.4444,73.3657,26.55,80,100,0.35,MV,1699543698
284,popondetta,-8.7537,148.2534,22.95,95,97,0.69,PG,1699543698
285,kununurra,-15.7667,128.7333,29.99,48,75,1.03,AU,1699543318
286,sabang,5.8933,95.3214,27.35,75,100,3.99,ID,1699543699
287,preobrazheniye,42.9019,133.9064,7.77,85,98,5.23,RU,1699543700
288,bamyan,34.75,67.25,-1.25,73,30,1.99,AF,1699543700
289,masumbwe,-3.6333,32.1833,28.56,35,91,1.87,TZ,1699543700
290,lorengau,-2.0226,147.2712,26.75,86,100,4.82,PG,1699543701
291,fuglafjordur,62.244,-6.814,6.26,90,100,13.6,FO,1699543701
292,enewetak,11.3474,162.3373,28.22,77,100,9.28,MH,1699543238
293,saguenay,48.4168,-71.0657,-3.29,81,100,3.09,CA,1699543562
294,qarqaraly,49.4058,75.4742,4.1,83,99,7.99,KZ,1699543702
295,acarau,-2.8856,-40.12,32.02,54,21,9.63,BR,1699543331
296,nadi,-17.8,177.4167,24.0,88,75,1.03,FJ,1699543155
297,sarnia,42.9787,-82.4041,8.35,87,75,3.6,CA,1699543418
298,moyale,3.5167,39.0584,24.31,55,100,4.64,KE,1699543275
299,port lincoln,-34.7333,135.8667,16.96,78,20,3.91,AU,1699543359
300,horad zhodzina,54.0983,28.3325,7.15,86,53,2.83,BY,1699543703
301,laascaanood,8.4774,47.3597,28.46,27,39,4.49,SO,1699543703
302,pacific grove,36.6177,-121.9166,12.03,61,0,1.54,US,1699543101
303,naranjal,-2.6667,-79.6167,26.77,77,90,1.53,EC,1699543704
304,tolanaro,-25.0319,46.9987,22.77,93,100,2.51,MG,1699543186
305,ixtapa,20.7,-105.2,27.57,74,75,1.03,MX,1699543704
306,selfoss,63.9331,-20.9971,4.47,58,0,5.98,IS,1699543302
307,smithers,54.7804,-127.1743,6.18,61,100,2.57,CA,1699543705
308,bayeux,-7.125,-34.9322,31.35,51,40,6.69,BR,1699543705
309,castillos,-34.1667,-53.8333,19.76,41,4,3.76,UY,1699543389
310,la puebla de cazalla,37.2216,-5.3115,16.67,78,100,2.42,ES,1699543706
311,two rivers,44.1539,-87.5693,7.78,66,0,8.23,US,1699543706
312,merizo village,13.2658,144.6691,28.31,91,74,8.51,GU,1699543707
313,myeik,12.4333,98.6,26.44,87,99,1.22,MM,1699543707
314,quellon,-43.1167,-73.6167,11.55,58,7,3.75,CL,1699543218
315,ciudad constitucion,25.0369,-111.6644,22.6,63,1,2.46,MX,1699543592
316,cambria,35.5641,-121.0808,11.1,75,0,1.34,US,1699543464
317,vostochnyy,55.8167,37.8667,7.28,82,98,2.61,RU,1699543708
318,kailua-kona,19.6406,-155.9956,23.98,85,0,4.12,US,1699543233
319,yarmouth,41.7057,-70.2286,8.9,88,100,2.06,US,1699543441
320,torghay,49.6339,63.4981,8.12,64,92,4.2,KZ,1699543708
321,kayangel,8.0823,134.7173,29.11,74,50,4.63,PW,1699543396
322,asadabad,34.7824,48.1185,14.97,30,0,3.56,IR,1699543709
323,nanao,37.05,136.9667,17.88,76,99,1.79,JP,1699543709
324,oytal,42.9057,73.2697,7.64,78,100,0.45,KZ,1699543709
325,san mariano,7.5,126.0,23.18,91,66,0.94,PH,1699543710
326,minot,48.2325,-101.2963,0.12,80,100,8.75,US,1699543710
327,kodinsk,58.6881,99.1844,-13.64,96,9,0.61,RU,1699543710
328,north ward,-19.2454,146.8075,24.95,69,40,5.66,AU,1699543711
329,tuntum,-5.2581,-44.6489,37.92,28,55,3.06,BR,1699543711
330,la sarre,48.8002,-79.1996,-3.46,94,100,4.45,CA,1699543480
331,shache,38.4167,77.2406,10.55,21,94,2.2,CN,1699543711
332,nicoya,10.1483,-85.452,28.22,76,3,2.95,CR,1699543712
333,sao martinho,39.5144,-9.1311,17.94,70,94,1.34,PT,1699543712
334,zilair,52.2332,57.4392,4.37,92,99,1.56,RU,1699543712
335,alekseyevskoye,55.3071,50.1135,6.6,95,100,4.93,RU,1699543713
336,zhanaozen,43.3,52.8,14.46,46,73,7.57,KZ,1699543713
337,novyy urgal,51.0736,132.5642,-12.16,96,86,0.97,RU,1699543714
338,praia da vitoria,38.7333,-27.0667,22.14,78,75,9.28,PT,1699543306
339,saint-denis,48.9167,2.3333,11.43,86,75,6.69,FR,1699543714
340,houghton,47.1219,-88.569,3.79,90,100,10.29,US,1699543666
